Step: 5898240   Mean reward: 25.25      Mean validation reward: 26.453125
Step: 5914624   Mean reward: 26.09375   Mean validation reward: 26.671875
Step: 5931008   Mean reward: 25.15625   Mean validation reward: 25.453125
Step: 5947392   Mean reward: 26.609375  Mean validation reward: 25.109375
Step: 5963776   Mean reward: 24.625     Mean validation reward: 25.328125
Step: 5980160   Mean reward: 25.359375  Mean validation reward: 26.046875
Step: 5996544   Mean reward: 27.328125  Mean validation reward: 26.234375
Step: 6012928   Mean reward: 26.484375  Mean validation reward: 25.8125
Step: 6029312   Mean reward: 26.546875  Mean validation reward: 25.9375
Step: 6045696   Mean reward: 27.78125   Mean validation reward: 25.859375
Step: 6062080   Mean reward: 25.75      Mean validation reward: 25.109375
Step: 6078464   Mean reward: 26.3125    Mean validation reward: 25.6875
Step: 6094848   Mean reward: 26.46875   Mean validation reward: 27.140625
Step: 6111232   Mean reward: 27.4375    Mean validation reward: 26.078125
Step: 6127616   Mean reward: 27.875     Mean validation reward: 26.46875
Step: 6144000   Mean reward: 25.78125   Mean validation reward: 26.09375
Step: 6160384   Mean reward: 27.9375    Mean validation reward: 27.109375
Step: 6176768   Mean reward: 26.0       Mean validation reward: 27.15625
Step: 6193152   Mean reward: 26.25      Mean validation reward: 26.359375
Step: 6209536   Mean reward: 26.4375    Mean validation reward: 25.6875
Step: 6225920   Mean reward: 26.125     Mean validation reward: 26.15625
Step: 6242304   Mean reward: 27.578125  Mean validation reward: 25.046875
Step: 6258688   Mean reward: 26.625     Mean validation reward: 26.46875
Step: 6275072   Mean reward: 26.515625  Mean validation reward: 27.140625
Step: 6291456   Mean reward: 28.265625  Mean validation reward: 26.90625
Step: 6307840   Mean reward: 25.578125  Mean validation reward: 26.390625
Step: 6324224   Mean reward: 26.578125  Mean validation reward: 26.484375
Step: 6340608   Mean reward: 28.046875  Mean validation reward: 26.265625
Step: 6356992   Mean reward: 26.96875   Mean validation reward: 26.203125
Step: 6373376   Mean reward: 26.34375   Mean validation reward: 26.4375
Step: 6389760   Mean reward: 26.546875  Mean validation reward: 26.296875
Step: 6406144   Mean reward: 25.625     Mean validation reward: 25.453125
Step: 6422528   Mean reward: 26.390625  Mean validation reward: 26.359375
Step: 6438912   Mean reward: 26.671875  Mean validation reward: 26.1875
Step: 6455296   Mean reward: 26.109375  Mean validation reward: 25.796875
Step: 6471680   Mean reward: 26.46875   Mean validation reward: 25.296875
Step: 6488064   Mean reward: 26.71875   Mean validation reward: 26.34375
Step: 6504448   Mean reward: 25.59375   Mean validation reward: 25.984375
Step: 6520832   Mean reward: 26.328125  Mean validation reward: 26.625
Step: 6537216   Mean reward: 27.0625    Mean validation reward: 25.828125
Step: 6553600   Mean reward: 27.03125   Mean validation reward: 26.03125
Step: 6569984   Mean reward: 25.984375  Mean validation reward: 25.390625
Step: 6586368   Mean reward: 26.90625   Mean validation reward: 26.953125
Step: 6602752   Mean reward: 27.5       Mean validation reward: 26.171875
Step: 6619136   Mean reward: 26.734375  Mean validation reward: 25.828125
Step: 6635520   Mean reward: 26.296875  Mean validation reward: 26.953125
Step: 6651904   Mean reward: 26.609375  Mean validation reward: 26.046875
Step: 6668288   Mean reward: 26.265625  Mean validation reward: 24.890625
Step: 6684672   Mean reward: 26.875     Mean validation reward: 26.765625
Step: 6701056   Mean reward: 26.90625   Mean validation reward: 26.34375
Step: 6717440   Mean reward: 26.25      Mean validation reward: 25.96875
Step: 6733824   Mean reward: 27.21875   Mean validation reward: 24.53125
Step: 6750208   Mean reward: 26.96875   Mean validation reward: 26.484375
Step: 6766592   Mean reward: 27.234375  Mean validation reward: 25.390625
Step: 6782976   Mean reward: 25.5       Mean validation reward: 26.5625
Step: 6799360   Mean reward: 26.71875   Mean validation reward: 27.390625
Step: 6815744   Mean reward: 26.9375    Mean validation reward: 25.03125
